category	filename	label	url	source_page	credit	rights_status
mathematics_research	ismaila_balde.jpg	Ismaïla Baldé — doctorat en mathématiques	https://actualites.uqam.ca/wp-content/uploads/2022/01/ismaila-6247.jpg	https://actualites.uqam.ca/2021/ismaila-balde-mordu-recherche/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
math_education	nunavik_classe.jpg	Programmation et mathématiques — classe	https://actualites.uqam.ca/wp-content/uploads/2023/10/classe-copie.jpg	https://actualites.uqam.ca/2023/programmation-informatique-ecole-nunavik/	Fabienne Venant	Editorial reference; formal republication permission not independently verified.
math_education	nunavik_classe_3.jpg	Programmation et mathématiques — activité	https://actualites.uqam.ca/wp-content/uploads/2023/10/classe3-copie.jpg	https://actualites.uqam.ca/2023/programmation-informatique-ecole-nunavik/	Fabienne Venant	Editorial reference; formal republication permission not independently verified.
math_education	nunavik_drone_robot.jpg	Mathématiques, robotique et drone	https://actualites.uqam.ca/wp-content/uploads/2023/10/drone2-robot.jpg	https://actualites.uqam.ca/2023/programmation-informatique-ecole-nunavik/	Fabienne Venant	Editorial reference; formal republication permission not independently verified.
math_education	nunavik_equipe.jpg	Équipe du projet de programmation mathématique	https://actualites.uqam.ca/wp-content/uploads/2023/10/equipe-projet-copie.jpg	https://actualites.uqam.ca/2023/programmation-informatique-ecole-nunavik/	Fabienne Venant	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2804.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2804	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2804.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2814.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2814	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2814.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2831.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2831	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2831.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2832.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2832	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2832.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2837.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2837	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2837.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
libraries	bibliotheque_aquin_2845.jpg	Bibliothèque Hubert-Aquin — espace lumineux 2845	https://actualites.uqam.ca/wp-content/uploads/2022/01/bibliotheque-aquin-2845.jpg	https://actualites.uqam.ca/2019/nouveaux-espaces-lumineux-bibliotheque/	Nathalie St-Pierre	Editorial reference; formal republication permission not independently verified.
